SchoolYear,OrganizationLevel,County,ESDName,ESDOrganizationID,DistrictCode,DistrictName,DistrictOrganizationId,SchoolCode,SchoolName,SchoolOrganizationID,CurrentSchoolType,GradeLevel,All Students,Female,Gender X,Male,American Indian/Alaskan Native,Asian,Black/African American,Hispanic/Latino of any race(s),Native Hawaiian/Other Pacific Islander,Two or More Races,White,English Language Learners,Non-English Language Learners,Foster Care,Non-Foster Care,Highly Capable,Non-Highly Capable,Homeless,Non-Homeless,Low-Income,Non-Low Income,Migrant,Non-Migrant,Military Parent,Non-Military Parent,Mobile,Non-Mobile,Section 504,Non-Section 504,Students with Disabilities,Students without Disabilities,DAT,DataAsOf
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3533,Jefferson Elementary,102451,P,Kindergarten,91,39,0,52,0,21,6,14,1,10,39,24,67,0,0,1,90,2,89,30,61,0,91,1,90,4,87,0,91,9,82,,06/02/2025 12:00:00 AM
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3533,Jefferson Elementary,102451,P,Pre-Kindergarten,2,0,0,2,0,0,0,0,0,0,2,0,2,0,0,0,2,0,2,0,2,0,2,0,2,0,2,0,2,2,0,,06/02/2025 12:00:00 AM
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3686,Monroe Elementary,102452,P,1st Grade,86,37,0,49,1,15,5,18,6,10,31,18,68,0,0,4,82,5,81,46,40,0,86,1,85,2,84,1,85,16,70,DAT Applied: Foster Care - N < 10,06/02/2025 12:00:00 AM
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3686,Monroe Elementary,102452,P,2nd Grade,76,36,1,39,2,12,4,14,1,15,28,19,57,0,0,7,69,4,72,46,30,0,76,1,75,0,76,2,74,11,65,,06/02/2025 12:00:00 AM
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3686,Monroe Elementary,102452,P,3rd Grade,84,43,0,41,1,10,5,20,4,16,28,30,54,0,0,3,81,4,80,51,33,0,84,3,81,1,83,4,80,14,70,,06/02/2025 12:00:00 AM
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3686,Monroe Elementary,102452,P,4th Grade,78,43,0,35,0,12,4,11,5,10,36,19,59,0,0,3,75,2,76,41,37,0,78,2,76,1,77,2,76,13,65,,06/02/2025 12:00:00 AM
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3686,Monroe Elementary,102452,P,5th Grade,71,36,0,35,1,9,4,17,2,12,26,13,58,0,0,1,70,3,68,40,31,0,71,0,71,1,70,4,67,21,50,,06/02/2025 12:00:00 AM
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3686,Monroe Elementary,102452,P,All Grades,492,238,1,253,5,66,28,100,24,72,197,128,364,0,0,18,474,20,472,270,222,0,492,11,481,11,481,13,479,102,390,DAT Applied: Foster Care - N < 10,06/02/2025 12:00:00 AM
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3686,Monroe Elementary,102452,P,Kindergarten,95,43,0,52,0,8,6,19,6,9,47,29,66,0,0,0,95,2,93,45,50,0,95,4,91,6,89,0,95,26,69,,06/02/2025 12:00:00 AM
2024-25,School,Snohomish,Northwest Educational Service District 189,100009,31002,Everett School District,100083,3686,Monroe Elementary,102452,P,Pre-Kindergarten,2,0,0,2,0,0,0,1,0,0,1,0,2,0,0,0,2,0,2,1,1,0,2,0,2,0,2,0,2,1,1,,06/02/2025 12:00:00 AM
